stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_elevation,zone_id,stop_url,location_type,parent_station,platform_code,ch_station_long_name,ch_station_synonym1,ch_station_synonym2,ch_station_synonym3,ch_station_synonym4
8530616,,La Belotte,,46.235862,6.190382,373,,,0,,,,,,,
8530621,,Le Pont NLJ,,46.667610,6.325058,1004,,,0,,,,,,,
8530622,,Le Rocheray NLJ,,46.622804,6.251724,1004,,,0,,,,,,,
8530623,,Les Bioux NLJ,,46.624138,6.272836,1004,,,0,,,,,,,
8530624,,Les Brenets NLB,,47.068471,6.697593,750,,,0,,,,,,,
8530625,,Meisterschwanden Delphin,,47.296179,8.220350,452,,,0,,,,,,,
8530626,,Meisterschwanden Seerose,,47.284139,8.224973,452,,,0,,,,,,,
8530627,,Seengen (See),,47.318844,8.204585,479,,,0,,,,,,,
8530628,,Birrwil (See),,47.290908,8.202875,521,,,0,,,,,,,
8530629,,Beinwil am See (See),,47.269326,8.211460,519,,,0,,,,,,,
8530630,,Aesch LU (See),,47.258416,8.229919,485,,,0,,,,,,,
8530631,,Mosen (See),,47.245817,8.224211,458,,,0,,,,,,,
8530632,,Boniswil (See),,47.304553,8.198799,476,,,0,,,,,,,
8530633,,Eierhals (See),,47.116147,8.640873,728,,,0,,,,,,,
8530634,,Morgarten Denkmal (See),,47.106166,8.641295,729,,,0,,,,,,,
8530635,,Morgarten Hotel (See),,47.103795,8.640029,729,,,0,,,,,,,
8530636,,Naas (See),,47.114361,8.621396,728,,,0,,,,,,,
8530637,,Basel Rheinhafen/Dreiländereck,,47.587778,7.589107,242,,,0,,,,,,,
8530638,,Basel St. Albantal,,47.555142,7.600959,243,,,0,,,,,,,
8530639,,Grenzach-Wyhlen,,47.536815,7.668756,262,,,0,,,,,,,
8530640,,Augst BL Kraftwerk,,47.537575,7.712269,274,,,0,,,,,,,
8530641,,Weil am Rhein Center,,47.601504,7.594478,272,,,0,,,,,,,
8530642,,Huningue BPG,,47.593722,7.589961,248,,,0,,,,,,,
8530643,,Horgen Autoquai,,47.259228,8.604638,407,,,0,,,,,,,
8530644,,Meilen Autoquai,,47.267975,8.638476,407,,,0,,,,,,,
8530645,,Maur (See),,47.340284,8.679023,460,,,0,,,,,,,
8530646,,Uster (See),,47.343223,8.690115,460,,,0,,,,,,,
8530647,,Fällanden (See),,47.365760,8.652712,436,,,0,,,,,,,
8530648,,Greifensee (See),,47.364535,8.674927,440,,,0,,,,,,,
8530649,,Rheinfall Schlössli Wörth,,47.678036,8.610643,359,,,0,,,,,,,
8530650,,Eglisau bei der Kirche,,47.575054,8.525176,390,,,0,,,,,,,
8530651,,Rheinau Kraftwerk,,47.637818,8.602967,372,,,0,,,,,,,
8530658,,Weesen (See),,47.134692,9.099281,424,,,0,,,,,,,
8530659,,Betlis,,47.134403,9.146023,419,,,0,,,,,,,
8530660,,Mühlehorn (See),,47.118298,9.174309,426,,,0,,,,,,,
8530661,,Quinten,,47.128907,9.216008,419,,,0,,,,,,,
8530662,,Quinten Au,,47.129490,9.229435,419,,,0,,,,,,,
8530663,,Unterterzen (See),,47.114484,9.253447,426,,,0,,,,,,,
8530664,,Mols (See),,47.113023,9.277977,428,,,0,,,,,,,
8530665,,Walenstadt (See),,47.127718,9.301829,426,,,0,,,,,,,
8530666,,Murg West (See),,47.113228,9.211165,427,,,0,,,,,,,
8530667,,Chastè,,46.428498,9.749451,1808,,,0,,,,,,,
8530668,,Plaun da Lej (See),,46.420908,9.726576,1805,,,0,,,,,,,
8530669,,Isola (See),,46.409707,9.732179,1810,,,0,,,,,,,
8530696,,Mönchaltorf (See),,47.325980,8.699924,437,,,0,,,,,,,
8530697,,Kaiseraugst BPG,,47.541571,7.726050,274,,,0,,,,,,,
8530698,,Rheinfelden BPG,,47.553924,7.789900,285,,,0,,,,,,,
8530699,,Genève-Molard,,46.204268,6.148179,372,,,0,,,,,,,
8530700,,Genève-Quai Gustave Ador,,46.205256,6.155930,372,,,0,,,,,,,
8530701,,Genève-De-Châteaubriand (lac),,46.219617,6.152999,372,,,0,,,,,,,
8530707,,Genève-Pâquis SMGN,,46.208794,6.150663,372,,,0,,,,,,,
8530714,,Maloja (See),,46.408171,9.704728,1803,,,0,,,,,,,
8530715,,Sils/Segl Maria Barchiröls,,46.424064,9.754195,1802,,,0,,,Sils/Segl Maria Barchiröls (See),,,,
8530717,,Castagnola Museo Heleneum,,45.999511,8.980300,274,,,0,,,,,,,
8530720,,Bottighofen (See),,47.644739,9.211898,398,,,0,,,,,,,
8530735,,Birsfelden BPG,,47.558227,7.619343,260,,,0,,,,,,,
8530742,,Unterägeri (See),,47.138048,8.589329,729,,,0,,,,,,,
8530743,,Oberägeri (See),,47.133559,8.608123,737,,,0,,,,,,,
8530764,,Basel Museum Jean Tinguely,,47.557075,7.614104,248,,,0,,,,,,,
8530784,,Muttenz BPG,,47.549395,7.646320,274,,,0,,,,,,,
8530793,,Cortaillod LNM,,46.938854,6.854085,430,,,0,,,,,,,
8530814,,Sarnen Seefeld,,46.887569,8.243137,663,,,0,,,,,,,
8530815,,Wilen Waldheim,,46.879221,8.226285,510,,,0,,,,,,,
8530816,,Giswil Zollhaus,,46.845630,8.202574,485,,,0,,,,,,,
8530817,,Giswil Camping,,46.853448,8.188891,485,,,0,,,,,,,
8530818,,Sachseln Schiffstation,,46.870408,8.236361,626,,,0,,,,,,,
8530821,,Faoug débarcadère,,46.911394,7.076028,430,,,0,,,,,,,
8530822,,Zürich Limmatquai,,47.373233,8.542632,408,,,0,,,,,,,
8530830,,Staad SG Hafenmole,,47.482174,9.532129,397,,,0,,,,,,,
8530833,SEED,Seedorf UR (See),,46.890049,8.598787,435,,,0,,,,,,,
8530834,,Altnau (See),,47.623133,9.269084,398,,,0,,,,,,,
8530835,,Uttwil (See),,47.586433,9.345354,398,,,0,,,,,,,
8530856,,Murg Ost (See),,47.114779,9.217885,419,,,0,,,,,,,
8530857,,Oberägeri Ländli (See),,47.129547,8.629970,726,,,0,,,,,,,
8014587,,Konstanz Hafen,,47.659864,9.179538,0,,,0,,,,,,,
8014592,,Dingelsdorf,,47.740994,9.157805,397,,,0,,,,,,,
8014608,,Unteruhldingen,,47.722875,9.225928,397,,,0,,,,,,,
8014611,,Meersburg (Bodensee),,47.692027,9.272265,410,,,0,,,,,,,
8014613,,Hagnau (Bodensee),,47.673518,9.314118,410,,,0,,,,,,,
8014614,,Immenstaad (Bodensee),,47.662326,9.367036,407,,,0,,,,,,,
8014649,FRIH,Friedrichshafen Hafen,,47.650861,9.481875,400,,,0,,,,,,,
8014650,,Langenargen Hafen,,47.595152,9.539913,403,,,0,,,,,,,
8014651,,Kressbronn Hafen,,47.586469,9.599651,407,,,0,,,,,,,
8014652,,Nonnenhorn Hafen,,47.574442,9.605344,406,,,0,,,,,,,
8014653,,Wasserburg (Bodensee) Hafen,,47.568382,9.636656,402,,,0,,,,,,,
8014654,,Bad Schachen,,47.557369,9.664967,0,,,0,,,,,,,
8014655,,Lindau Hafen,,47.543782,9.682267,397,,,0,,,,,,,
8587842,,Cassarate SNL,,46.005142,8.969833,273,,,0,,,,,,,
8588813,,Port Noir,,46.212012,6.172631,373,,,0,,,,,,,
8099992,,Mainau (Bodensee),,47.705845,9.200712,397,,,0,,,,,,,
8099998,,Überlingen Hafen,,47.765812,9.160763,399,,,0,,,,,,,
8102338,BRHA,Bregenz Hafen,,47.506117,9.748294,398,,,0,,,,,,,
